ANNEE;Code INSEE de la région;Région;Niveau de tension (kV);Nombre de postes électriques
2018;44;GRAND EST;90;10
2018;32;HAUTS-DE-FRANCE;90;69
2018;53;BRETAGNE;63;90
2018;11;ILE-DE-FRANCE;63;49
2018;24;CENTRE-VAL DE LOIRE;45;0
2018;28;NORMANDIE;45;0
2018;52;PAYS DE LA LOIRE;45;0
2018;84;AUVERGNE-RHONE-ALPES;400;28
2018;32;HAUTS-DE-FRANCE;400;17
2018;27;BOURGOGNE-FRANCHE-COMTE;225;30
2018;24;CENTRE-VAL DE LOIRE;225;12
2018;52;PAYS DE LA LOIRE;225;25
2018;24;CENTRE-VAL DE LOIRE;150;0
2018;75;NOUVELLE-AQUITAINE;150;3
2018;28;NORMANDIE;90;98
2018;75;NOUVELLE-AQUITAINE;90;143
2018;28;NORMANDIE;63;2
2018;93;PROVENCE-ALPES-COTE D'AZUR;63;127
2018;11;ILE-DE-FRANCE;45;0
2018;75;NOUVELLE-AQUITAINE;45;0
2018;24;CENTRE-VAL DE LOIRE;400;14
2018;28;NORMANDIE;400;12
2018;75;NOUVELLE-AQUITAINE;400;16
2018;93;PROVENCE-ALPES-COTE D'AZUR;400;10
2018;11;ILE-DE-FRANCE;225;109
2018;28;NORMANDIE;225;23
2018;75;NOUVELLE-AQUITAINE;225;41
2018;76;OCCITANIE;225;53
2018;84;AUVERGNE-RHONE-ALPES;150;0
2018;44;GRAND EST;150;1
2018;11;ILE-DE-FRANCE;150;0
2018;28;NORMANDIE;150;0
2018;52;PAYS DE LA LOIRE;150;0
2018;93;PROVENCE-ALPES-COTE D'AZUR;150;11
2018;11;ILE-DE-FRANCE;90;11
2018;76;OCCITANIE;90;0
2018;93;PROVENCE-ALPES-COTE D'AZUR;90;0
2018;84;AUVERGNE-RHONE-ALPES;63;312
2018;24;CENTRE-VAL DE LOIRE;63;5
2018;32;HAUTS-DE-FRANCE;63;62
2018;76;OCCITANIE;63;278
2018;76;OCCITANIE;45;0
2018;27;BOURGOGNE-FRANCHE-COMTE;400;8
2018;53;BRETAGNE;400;4
2018;44;GRAND EST;400;19
2018;11;ILE-DE-FRANCE;400;13
2018;24;CENTRE-VAL DE LOIRE;90;114
2018;75;NOUVELLE-AQUITAINE;63;147
2018;52;PAYS DE LA LOIRE;63;23
2018;84;AUVERGNE-RHONE-ALPES;45;8
2018;53;BRETAGNE;45;0
2018;44;GRAND EST;45;0
2018;32;HAUTS-DE-FRANCE;45;0
2018;93;PROVENCE-ALPES-COTE D'AZUR;45;0
2017;76;OCCITANIE;400;14
2017;84;AUVERGNE-RHONE-ALPES;225;83
2017;24;CENTRE-VAL DE LOIRE;225;11
2017;11;ILE-DE-FRANCE;150;0
2017;75;NOUVELLE-AQUITAINE;150;3
2017;75;NOUVELLE-AQUITAINE;90;140
2017;53;BRETAGNE;63;89
2017;76;OCCITANIE;63;276
2017;52;PAYS DE LA LOIRE;63;23
2017;28;NORMANDIE;45;0
2017;75;NOUVELLE-AQUITAINE;45;0
2017;84;AUVERGNE-RHONE-ALPES;400;28
2017;27;BOURGOGNE-FRANCHE-COMTE;400;8
2017;44;GRAND EST;400;19
2017;52;PAYS DE LA LOIRE;400;7
2017;53;BRETAGNE;225;20
2017;28;NORMANDIE;225;23
2017;75;NOUVELLE-AQUITAINE;225;40
2017;52;PAYS DE LA LOIRE;225;25
2017;93;PROVENCE-ALPES-COTE D'AZUR;225;57
2017;76;OCCITANIE;150;10
2017;52;PAYS DE LA LOIRE;150;0
2017;44;GRAND EST;90;10
2017;11;ILE-DE-FRANCE;90;11
2017;76;OCCITANIE;90;0
2017;84;AUVERGNE-RHONE-ALPES;63;310
2017;93;PROVENCE-ALPES-COTE D'AZUR;63;129
2017;27;BOURGOGNE-FRANCHE-COMTE;45;0
