IDRPoste;ADRPoste;CodeCommuneINSEE;NomCommune;DemandeProximite;CapaciteSansContrainte;ZoneTarifaireTURPE;PlageTarifInjection;Gabarit;CapacitePosteGabarit;NomZoneGabarit;CapaciteZoneGabarit
PAPINP6;POSTE 225kV N0 1 PAPIN;38468;Salaise-sur-Sanne;;< 5 MW;zone injection PV;du 1er mai au 2 septembre inclus;;;;
PARENP3;POSTE 63kV N0 1 PARENTIS;40217;Parentis-en-Born;;< 5 MW;;;;;;
PARISP3;POSTE 63kV N0 1 PARISET;38485;Seyssinet-Pariset;;< 5 MW;zone soutirage;;;;;
PARISP6;POSTE 225kV N0 1 PARISET;38485;Seyssinet-Pariset;;< 5 MW;zone soutirage;;;;;
PAROYP3;POSTE 63kV N0 1 PAROY;89206;Joigny;;< 5 MW;zone soutirage;;;;;
PARTHP4;POSTE 90kV N0 1 PARTHENAY;79080;Châtillon-sur-Thouet;;< 5 MW;zone injection PV;du 1er mai au 2 septembre inclus;gabarit en injection;< 5 MW;Airvault;55 MW
PAS  P4;POSTE 90kV N0 1 PAS (LE);35089;La Couyère;;< 5 MW;;;;;;
PASSYP3;POSTE 63kV N0 1 PASSY;74208;Passy;;< 5 MW;zone soutirage;;;;;
PASSYP6;POSTE 225kV N0 1 PASSY;74208;Passy;;< 5 MW;zone soutirage;;;;;
PATISP3;POSTE 63kV N0 1 PATIS;60009;Allonne;;< 5 MW;;;;;;
PATISP6;POSTE 225kV N0 1 PATIS;60009;Allonne;;< 5 MW;;;;;;
PATURP3;POSTE 63kV N0 1 PATURAL;69206;Saint-Georges-de-Reneins;;< 5 MW;zone soutirage;;;;;
PAU.EP3;POSTE 63kV N0 1 PAU-EST;64445;Pau;;< 5 MW;zone soutirage;;;;;
PAU.NP3;POSTE 63kV N0 1 PAU-NORD;64348;Lons;;< 5 MW;zone soutirage;;;;;
PAUDYP6;POSTE 225kV N0 1 PAUDY;36152;Paudy;;< 5 MW;;;;;;
PAUILP3;POSTE 63kV N0 1 PAUILLAC;33314;Pauillac;;< 5 MW;zone soutirage;;;;;
PAYOLP4;POSTE 90kV N0 1 PAYOLLES (LES);45229;Nogent-sur-Vernisson;;< 5 MW;zone injection PV;du 1er mai au 2 septembre inclus;;;;
PECY P3;POSTE 63kV N0 1 PECY;77357;Pécy;;< 5 MW;zone soutirage;;;;;
PELISP3;POSTE 63kV N0 1 PELISSIER;81004;Albi;;< 5 MW;zone soutirage;;;;;
PELISP6;POSTE 225kV N0 1 PELISSIER;81004;Albi;;< 5 MW;zone soutirage;;;;;
PELOUP4;POSTE 90kV N0 1 PELOUSE (LA);37261;Tours;;< 5 MW;zone soutirage;;;;;
PENHAP3;POSTE 63kV N0 1 PENHARS;29232;Quimper;;< 5 MW;zone soutirage;;;;;
PENL5P4;POSTE 90kV N0 1 PENLY (POSTE EVACUATION);76618;Petit-Caux;;< 5 MW;;;;;;
PENL5P7;POSTE 400kV N0 1 PENLY (POSTE EVACUATION);76618;Petit-Caux;;< 5 MW;;;;;;
PERCYP4;POSTE 90kV N0 1 PERCY;14431;Mézidon Vallée d'Auge;;< 5 MW;;;;;;
PERIZP3;POSTE 63kV N0 1 PERIZET (LE);59140;Caullery;;< 5 MW;;;;;;
PERIZP6;POSTE 225kV N0 1 PERIZET (LE);59140;Caullery;;< 5 MW;;;;;;
PERNEP4;POSTE 90kV N0 1 PERNES;62197;Camblain-Châtelain;;< 5 MW;;;;;;
PERONP3;POSTE 63kV N0 1 PERONNE;80620;Péronne;;< 5 MW;;;;;;
PERQUP3;POSTE 63kV N0 1 PERQUIE;40221;Perquie;;< 5 MW;;;;;;
PERR6P3;POSTE 63kV N0 1 PERROS;22324;Saint-Quay-Perros;;< 5 MW;;;;;;
PERR7P3;POSTE 63kV N0 1 PERROY;58209;Perroy;;< 5 MW;;;;;;
PERRAP6;POSTE 225kV N0 1 PERRACHE;69123;Lyon;;< 5 MW;zone soutirage;;;;;
PERREP6;POSTE 225kV N0 1 PERRET;92044;Levallois-Perret;;< 5 MW;zone soutirage;;;;;
PERRIP3;POSTE 63kV N0 1 PERRIGNY;21166;Chenôve;;< 5 MW;zone soutirage;;;;;
PERSAP3;POSTE 63kV N0 1 PERSAN;95487;Persan;;< 5 MW;zone soutirage;;;;;
PERTAP3;POSTE 63kV N0 1 PERTAIN;80621;Hypercourt;;< 5 MW;;;;;;
